symbol
RELIANCE
TCS
HDFCBANK
ICICIBANK
INFY
SBIN
BHARTIARTL
ITC
KOTAKBANK
LT
AXISBANK
BAJFINANCE
MARUTI
SUNPHARMA
TITAN
ULTRACEMCO
ADANIENT
ADANIPORTS
TATASTEEL
TATAMOTORS
HINDALCO
JSWSTEEL
COALINDIA
NTPC
POWERGRID
ONGC
GRASIM
CIPLA
DRREDDY
DIVISLAB
EICHERMOT
HEROMOTOCO
BAJAJ-AUTO
BAJAJFINSV
HDFCLIFE
SBILIFE
INDUSINDBK
TECHM
WIPRO
HCLTECH
ASIANPAINT
NESTLEIND
BRITANNIA
DABUR
GODREJCP
PIDILITIND
DLF
GODREJPROP
OBEROIRLTY
ZOMATO
NYKAA
PAYTM
IRCTC
IEX
CANBK
PNB
BANKBARODA
AUBANK
FEDERALBNK
IDFCFIRSTB
PEL
MUTHOOTFIN
CHOLAFIN
LICHSGFIN
PFC
RECLTD
GAIL
IOC
BPCL
HINDPETRO
VEDANTA
NMDC
SAIL
JINDALSTEL
APOLLOHOSP
FORTIS
LUPIN
AUROPHARMA
BIOCON
TRENT
ABFRL
PAGEIND
VOLTAS
HAVELLS
SIEMENS
ABB
CUMMINSIND
BEL
HAL
BHEL
CONCOR
INDIGO
ADANIGREEN
ADANIPOWER
TATAPOWER
TATACOMM
MOTHERSON
BOSCHLTD
MRF
BALKRISHNA
ASHOKLEY
TVSMOTOR
UPL
PIIND
SRF
NAVINFLUOR
DEEPAKNTR
